"Rank","Value Rating","Model","Price (MSRP)","Signature","Comments","Tone Grade","Technical Grade"
"A-","","See Audio Neo","1100","Neutral with bass boost","Well-balanced tonality with good resolution; emphasised bass with good control.","A-","A-"
"A-","","InEar SD5","1100","Warm V-shape","Excels in timbre reproduction and has an overall pleasant signature.","A-","A-"
"A-","","Noble K10 Encore","1850","Neutral","Reference oriented sound focused on technicalities.","A-","A-"
"A-","","Noble Katana","1850","Neutral with laid-back treble","Like the K10, except with less bass.","A-","A-"
"A-","","Elysian Poseidon","1940","Neutral with bass boost","Good, inoffensive midrange tone and bass tuning, marred by the lack of low-level detailing.","A-","A-"
"A-","","Empire Ears Legend X","2300","V-shaped","High resolution hybrid flawed only by lack of control in the bass regions.","A-","A-"
"A-","","Vision Ears VE8","2700","Warm neutral","Extremely coherent signature with a pleasing tuning and high technicalities.","A-","A-"
"A-","","Vision Ears EXT","3000","U-shaped","","A-","A-"
"A-","","Empire Ears Legend X SE","3250","V-shaped","A more upper-mid-forward variation of the original Legend X, which could come off as slightly more mid-recessed.","A-","A-"
"A-","","Massdrop x Noble K10","Discont.","Neutral with bass boost","Very safe tuning, almost to the point of boredom. Does nothing wrong but nothing right either.","A-","A-"
"A-","","Etymotic ER4B","Discont.","Bright neutral","","A-","A-"
"B+","★","qdc 4SS","700","Neutral","High clarity, high resolution reference-type monitor with spot-on tone.","B+","A"
"B+","","HYLA CE-5","915","U-shaped","Probably the best bass response I've ever heard. Thin-ish midrange that sounds unnatural on certain instruments.","B+","A"
"B+","","HYLA Sarda","1250","U-shaped","Standard ""HYLA"" house sound, doesn't do much different from the CE-5 and TE-5B.","B+","A"
"B+","","HYLA TE-5B","1300","U-shaped","Similar to the CE-5 though ever-so-slightly thinner in the midrange.","B+","A"
"B+","","qdc 8SH","1450","Mild V-shape","Tonally, a slightly wonkier variation of the top-tier qdc IEMs.","B+","A"
"B+","","qdc Tiger","1500","Mild V-shape","","B+","A"
"B+","","Jomo Trinity SS","2800","V-shaped","Highly detailed, well separated imaging though severely lacking in treble extension.","B+","A"
"B+","","Unique Melody Mason V3+","3200","Bright neutral","Decent resolution, nothing really special otherwise.","B+","A"
"B+","★★★","Etymotic ER2SE/ER2XR","110","Neutral","Slightly less detailed than the ER4, but without the usual BA timbre.","A","B+"
"B+","★★","Moondrop Kato","190","Mild V-shape","","A","B+"
"B+","","Tanchjim Oxygen","Discont.","Mild V-shape","One of the best-tuned DDs tuned somewhat to Harman. Defined and detailed.","A","B+"
"B+","★","Fearless S8Z","590","Warm neutral","Solid all-rounder with a safe, pleasing tuning.","A","B+"
"B+","★","Clariar i430","600","Mild V-shape","","A","B+"
"B+","","Clariar i640","1200","V-shaped","","A","B+"
"B+","","Fatfreq Maestro SE","1900","Neutral with bass boost","","A","B+"
"B+","★★","Samsung Galaxy Buds2 Pro","230","U-shaped","A less shouty interpretation of Harman with the same controlled yet impactful bass response.","S-","B"
"B+","","Sennheiser IE900","1300","U-shaped","Well-resolving DD IEM with excellent treble control, though with somewhat weak mid-high harmonics.","B","A+"
"B+","","Noble Khan","2300","U-shaped","Clean yet lean, solid low-end rumble but treble get splashy. Technical but lacking naturalness.","B","A+"
"B+","","Noble Kublai Khan","2600","U-shaped","","B","A+"
"B+","★★","AKG N400","155","U-shaped","Does away with the timbral issues of the Buds+ and sets itself as a superior.","A+","B"
"B+","★★★","Truthear Hexa","80","Neutral","","A+","B"
"B+","★★","Samsung Galaxy Buds Pro","200","Warm V-shape","More lower mids than your average Harman-tuned IEM, but works in its favour by being more pleasant.","A+","B"
"B+","★★","Apple AirPods Pro 2","250","Mild V-shape","A more exciting sound signature in comparison to its predecessor, with little in terms of drawbacks.","A+","B"
"B+","★★","Softears Volume","285","Mild V-shape","","A+","B"
"B+","","Gaudio Nair","862","Neutral","Well-tuned neutral monitor bottlenecked by timbre and resolution.","A+","B"
"B+","★","Fatfreq Maestro Mini","450","Neutral with bass boost","","A+","B"
"B+","","Unique Melody MEXT","1100","U-shaped","","B+","A-"
"B+","","Ultimate Ears Reference Remastered (UERR)","1000","Neutral with laid-back treble","Warm with good tonality. Good all-rounder albeit definitely not a reference signature.","B+","A-"
"B+","","Vision Ears VE7","1300","Warm neutral","Fairly inoffensive tuning with solid technicalities.","B+","A-"
"B+","","Unique Melody MEST","1400","Neutral with bass boost","A smooth, relaxing listen (in custom form) backed up with good technicalities.","B+","A-"
"B+","","Unique Melody MEST Mk2","1500","Neutral with bass boost","Pretty much the same as the Mk1, though with extra sub-bass presence.","B+","A-"
"B+","","Elysian Hades V2","1550","Variable","Upper-mid forward signature with intense upper treble response.","B+","A-"
"B+","","Elysian Terminator V2","2500","V-shaped","A more intense, upper-mid forward Terminator V1 with the same level of technical ability.","B+","A-"
"B+","","Elysian Terminator","Discont.","Warm V-shape","Well rounded smooth signature that doesn't offend.","B+","A-"
"B+","★★","Etymotic ER3SE/ER3XR","160","Warm neutral","An ER4 with a bit less treble and upper extension.","A-","B+"
"B+","","DUNU DK-3001 Pro","Discont.","Warm neutral","Well-tuned and coherent. Does little wrong and very easy to like.","A-","B+"
"B+","★","MiM Dark Magician","500","Neutral","","A-","B+"
"B+","","FAudio Dark Sky","1100","V-shaped","","A-","B+"
"B+","","DUNU x Z Reviews SA6 Ultra","Discont.","U-shaped","","B","A"
"B+","","Hidition NT6 Pro","1100","Neutral with bass boost","A V-shaped version of the NT6. The change in tuning kills the technical ability slightly","B","A"
"B+","","64 Audio A18S","3000","Warm neutral","Warning: the demo unit does not sound like the custom. Demos are sub-bass focused while customs are warm.","B","A"
"B+","","InEar Prophile-8","1600","Neutral","Very ""studio"" like sound, heavy priority on technicalities if a little dead-sounding.","A","B"
"B+","","Fatfreq Maestro","Discont.","U-shaped","","A","B"
"B+","","Audeze Euclid","1300","Mild V-shape","Certainly far better tuned than its predecessors with the same excellent technicalities.","B-","S-"
"B+","","Jomo Flamenco","2200","Warm neutral","Tuned to be more pleasing and tonally accurate compared to the old Flamenco at the cost of sheer detail.","B-","A+"
"B+","★★","Unique Melody 2HT “Terminator”","200","U-shaped","Tonality almost reminds me of a HYLA hybrid. Well tuned with strong technical performance.","B+","B+"
"B+","★","iBasso AM05","300","Neutral","Well-balanced tonality, slightly tilted towards brightness. Probably the best iBasso IEM yet.","B+","B+"
"B+","★","Fearless S6Pro","390","Neutral","Technical tuning with very forward detailing.","B+","B+"
"B+","","iBasso IT04","Discont.","U-shaped","A nice improvement over the IT03 though midrange hollowness still exists.","B+","B+"
"B+","","JQ Hua Jiang","750","Neutral with bass boost","Somewhat subdued and ""safe"" tuning with decent resolving ability.","B+","B+"
"B+","","Oriolus MK2","1100","V-shaped","Lively yet non-fatiguing hybrid experience.","B+","B+"
"B+","","FiR M3","1200","Warm neutral","Interesting tubeless technology, though the imaging improvements are minimal.","B+","B+"
"B+","","64 Audio N8","1700","Bassy","Sub-bass focus, rich and smooth yet relatively neutral in tone.","B+","B+"
"B+","","FiR M4","1900","Warm neutral","Too similar to the M3 to be worth the price markup.","B+","B+"
"B+","","FitEar MH334SR","2000","Warm neutral","A MH334 with more treble extension and more opened imaging.","B+","B+"
"B+","","FiR M5","2800","Warm V-shape","Warmer than the M3 and M4 with lower resolution.","B+","B+"
"B+","","Empire Ears Legend EVO","3100","Bassy","","B+","B+"
"B+","","Mofasest M14","Discont.","Neutral with bass boost","Essentially a more tonally ""correct"" version of the ThieAudio V14.","B+","B+"
"B","","DUNU SA6","550","Neutral with bass boost","Tonality reminiscent of the Anole VX, though not up to the same level of technicalities.","B","A-"
"B","★","JVC HA-FD01","300","Bright V-shape","Upper-mid forward signature can get a little shouty, but a decently technical DD still.","B","A-"
"B","★","JVC HA-FD02","300","Bright V-shape","Upper-mid forward signature can get a little shouty, but a decently technical DD still.","B","A-"
"B","","Tansio Mirai TSMR-12 ""Zodiac""","1330","Neutral","Very clean, monitor/reference-style sound.","B","A-"
"B","","Acoustune HS1650","650","V-shaped","Well textured and energetic with a sub-bass focus.","B","A-"
"B","","Acoustune HS1670","800","V-shaped","Metallic and shrill timbre makes this hard to enjoy.","B","A-"
"B","","ThieAudio Voyager 14 (V14)","1000","Neutral","Evokes a qdc-ish house sound, though stumbles in both tuning refinement and technicalities.","B","A-"
"B","","Fearless Lancelot","1300","Warm","Rather generic tuning with no redeeming qualities for its price and status.","B","A-"
"B","","Acoustune HS1695Ti","Discont.","U-shaped","Sub-bass focused emphasis balanced out by midtreble peaks.","B","A-"
"B","★★","Samsung Galaxy Buds","130","Neutral","A surprisingly well-tuned TWS with the technical chops to boot.","A-","B"
"B","","Moondrop Aria","Discont.","Mild V-shape","A cheaper Starfield.","A-","B"
"B","★★★","DUNU Titan S","80","Mild V-shape","","A-","B"
"B","","Moondrop Starfield","Discont.","Mild V-shape","A cheaper KXXS.","A-","B"
"B","","Moondrop KXXS","Discont.","Mild V-shape","Well-tuned single DD with proper timbre and decent technicalities.","A-","B"
"B","★","FAudio Minor","520","Mild V-shape","Well-balanced tonality and tuning, held back by middling technicalities.","A-","B"
"B","","Aya Siren","600","Neutral","Very neutral, very well-tuned, though not very snappy in the treble.","A-","B"
"B","","Shuoer x HBB EJ07M Kinda Lava Edition","670","Mild V-shape","","A-","B"
"B","","Unique Melody Martian","700","Neutral with bass boost","Well-tuned hybrid with excellent bass response and smooth midrange.","A-","B"
"B","","Fatfreq Sakura","950","Neutral","","A-","B"
"B","","HYLA TE-5T","1300","Bright U-shape","Very Japanese-sounding with a massive upper harmonic focus, too much for many genres.","B-","A"
"B","","Unique Melody Maestro V2","2000",""Balanced"","It's... there. An IEM that exists. Hard to find words for this one.","B-","A"
"B","","Final Audio A8000","2000","Bright V-shape","Technically strong but going too far with the treble emphasis.","B-","A"
"B","","Oriolus Percivali","2000","Neutral with bass boost","Lacking body and very thin in the notes. Not recommended for sub-tenor instruments.","B-","A"
"B","","Oriolus Mellianus","2400","Mild V-shape","Thin and sterile signature that isn't the most natural, but still technically proficient.","B-","A"
"B","","Jomo Trinity Brass","2800","Warm","The warmer of the Trinity models, sacrificing technical ability for a more pleasing and smoother tone.","B-","A"
"B","","Jomo Samba","Discont.","V-shaped","Lively and engaging with big clarity and detail, perhaps too much for some","B-","A"
"B","","Moondrop Solis","1100","Warm neutral","A good implementation of the EST drivers with Moondrop's signature tuning specialties.","A","B-"
"B","","Prisma Azul","Discont.","Neutral","A well-balanced neutral monitor bottlenecked by sheer resolution and narrow imaging performance.","A","B-"
"B","","SeeAudio Miu","650","U-shaped","","A","B-"
"B","","DUNU Luna","1700","Mid-centric","Needs more work on the tuning front.","C+","S-"
"B","","Dita Dream","1800","V-shaped","Excellent resolution and detail let down by its metallic tonality and thin midrange","C+","S-"
"B","","See Audio Yume","Discont.","Neutral with bass boost","Excellent tuning with impeccable bass control, though with mushy transients and lacking detail.","S-","C+"
"B","★","Tanchjim Darling","420","Bright V-shape","A tad shouty but with excellent imaging performance.","B","B+"
"B","","Fearless S8F/S8Pro","490","V-shaped","Tonally pleasing V-shaped signature on a solid technical foundation.","B","B+"
"B","","Acoustune HS1750","600","V-shaped","","B","B+"
"B","","AAW ASH","800","Warm neutral","Smooth tonal balance with decent technicalities.","B","B+"
"B","","qdc Anole V6","1100","Variable","The more mid-centric of the Anole brothers. Better technicalities but worse timbre.","B","B+"
"B","","Campfire Andromeda (2020)","1100","Warm neutral","Basically an Andromeda without the treble spike and slightly boosted midrange.","B","B+"
"B","","Campfire Andromeda (S)","1100","Warm U-shape","Highly coherent, easy-to-love tuning and spacious headstage","B","B+"
"B","","See Audio Kaguya","1400","U-shaped","Somewhat mid-scooped, decent bass and treble extension though with underwhelming resolving ability.","B","B+"
"B","","Softears Cerberus","2100","Dark neutral","Lacking definition in the treble, otherwise a decently balanced tribrid IEM.","B","B+"
"B","","Ultimate Ears UE4 Pro","Discont.","Neutral","Pretty much a mini-UE7.","B","B+"
"B","","A&K T8iE","Discont.","Neutral with bass boost","Hard-to-dislike tuning with excellent clarity and resolution.","B","B+"
"B","","Samsung Galaxy Buds+","Discont.","U-shaped","Tuned even closer to the Harman IE target compared to the original.","B+","B"
"B","","Etymotic ER4PT","Discont.","Warm neutral","Slightly rolled off treble with good detail and resolution, though imaging is too two-dimensional.","B+","B"
"B","★★","Tanchjim New Hana (2021)","180","Mild V-shape","","B+","B"
"B","★","Audiosense DT600","250","Neutral with bass boost","","B+","B"
"B","","DUNU EST 112","490","Neutral","Good tonality, though the treble extension is its big Achille's Heel.","B+","B"
"B","","XENNS UP","700","Neutral with bass boost","","B+","B"
"B","","Shuoer EJ07","850","Dark neutral","Tuned almost Etymotic-like but with underwhelming treble extension bottlenecking it all.","B+","B"
"B","","Oriolus Isabellae","600","Mild V-shape","","B+","B"
"B","","Fatfreq Tsuru","800","Bright neutral","","B+","B"
"B","","DUNU Zen Pro","900","V-shaped","","B+","B"
"B","","Fatfreq Hayabusa","1320","Mild V-shape","","B+","B"
"B","","Empire Ears Hero","1350","U-shaped","Well-controlled bass emphasis with a less-well-controlled treble emphasis makes this hard to appreciate.","B-","A-"
"B","","ThieAudio Legacy 4 (L4)","Discont.","Neutral with bass boost","Well-tuned if technically lacking in comparison. Could use some more power in the bass.","A-","B-"
"B","","Moondrop Kanas Pro","Discont.","Warm V-shape","Somewhat Harman-esque in tuning, not the best in terms of resolution.","A-","B-"
"B","","Unique Melody Merlin V2","1000","Warm neutral","Very tasteful and coherent tuning, if lacking in sheer resolution.","A-","B-"
"B","","64 Audio A6t","1300","Warm","Very warm and intimate presentation, though overall tonal balance is somewhat preserved.","A-","B-"
"B","","Audiosense DT200","Discont.","Neutral","Excellent tonality. Just excellent tuning overall.","A+","C+"
"B","★★★","Moondrop Chu","20","Neutral","An extremely well-tuned neutral IEM with a slightly bright and metallic tilt.","A+","C+"
"B","","Truthear Hola","Discont.","Warm neutral","","A+","C+"
"B","★","Libratone Track Air Plus","250","Neutral with bass boost","Deep and focused sub-bass response with a surprisingly balanced midrange tonality.","A+","C+"
"B","","64 Audio tia Fourte","3600","W-shaped","Unique sound; high clarity and bass response with immensely wide staging, held back by a wonky tonality.","C+","A"
"B","","64 Audio tia Fourte Noir","3800","W-shaped","A bassier and warmer Fourte though also strangely sharper and less technical.","C+","A"
"B","","Sony MDR-EX1000","Discont.","Bright neutral","Outstanding imaging and detail retrieval though can be intense to listen to.","C+","A"
"B","","Dita Sakura 71","Discont.","V-shaped","Very upper-mid forward. Would appreciate the shout being dialed way down.","C+","A"
"B","★★★","Lypertek PurePlay Z3 2.0 (PurePlay Z3) (Tevi)","90","Neutral with bass boost","Probably the closest thing to an ER2XR in TWS form.","A","C+"
"B","","Sony XBA-N3","Discont.","Neutral with bass boost","Exceptional tonal balance only limited by its slightly smoothed over definition","A","C+"
"B","","Kumitate KL-Corona","650","Neutral","Well-tuned with somewhat disappointing technical performance.","A","C+"
"B","","Moondrop Crescent","Discont.","Neutral with bass boost","Well-executed V-ish signature that's neither harsh nor bloated.","A","C+"
"B","★","FiiO FH5","260","Neutral with bass boost","Stellar bass response and decent technical ability, not much to fault.","B","B"
"B","★","Sennheiser IE300","300","V-shaped","Fairly mainstream tuning with a treble response that's well done given its emphasis.","B","B"
"B","","Tanchjim Prism","600","V-shaped","","B","B"
"B","","FiiO FH9","600","Mild V-shape","","B","B"
"B","","Yanyin Moonlight","650","Neutral with bass boost","","B","B"
"B","","Aya Trident","800","U-shaped","Somewhat strange tuning that seems to try to do everything, but results in a slightly wonky tonality.","B","B"
"B","","Moondrop Illumination","800","Warm neutral","Well-tuned with natural timbre, ultimately marred by subpar detail retrieval and definition.","B","B"
"B","","FiiO FD7","600","V-shaped","","B","B"
"B","","Fearless La Hire","610","Neutral","Well-tuned neutral-style monitor with subpar treble extension.","B","B"
"B","","Yanyin x HBB Mahina","650","Neutral with bass boost","","B","B"
"B","","iBasso IT07","900","U-shaped","More similar to its predecessor the IT04, with more bass and less treble.","B","B"
"B","","qdc 5SH","900","V-shaped","Fun, lively signature that retains high levels of performance.","B","B"
"B","","Kinera Nanna 2.0","900","V-shaped","Bass is a tad uncontrolled and the mids could use more refinement. The original is arguably superior.","B","B"
"B","","Symphonium Triton","900","Neutral","","B","B"
"B","","AKG N5005","1000","Neutral with bass boost","Amazing bass control only let down by plastic timbre.","B","B"
"B","","Unique Melody Mirage","1100","Mild V-shape","Tonally-balanced, technically acceptable, nothing much to criticise though no big praises either.","B","B"
"B","","Empire Ears Vantage","1400","V-shaped","A Legend-X-mini, essentially. Nice alternative on a ""budget"".","B","B"
"B","","Sony Justear XJE-MH2 ""Club""","2150","Warm V-shape","Nice, pleasant signature that is reminiscent of a more textured HS1551.","B","B"
"B","","Ultimate Ears UE18+ Pro Gen 2","Discont.","Warm neutral","Somewhat reference tuning with emphasis on tonal accuracy and naturalness","B","B"
"B","","Kumitate KL-REF Type S","Discont.","Variable","Triggers uncanny valley hard. Presentation is always slighty off in some area that I can't pinpoint.","B","B"
"B-","★","Acoustune HS1300","350","V-shaped","A less warm, slightly brighter version of the coveted HS1551.","B-","B+"
"B-","","DUNU DK-4001","900","U-shaped","A little shrill with slight cutbacks in tone compared to the DK-3001 Pro.","B-","B+"
"B-","","AAW AXH (2019)","430","Bright neutral","Sharp treble though not to the point of being piercing. Decent rendition of the bright-neutral signature.","B-","B+"
"B-","","Unique Melody MacBeth","600","U-shaped","Extremely clear but may be too thin for some.","B-","B+"
"B-","","Elysian Artemis V2","700","Neutral","A detailed, somewhat neutral-sounding IEM that should fit most people's tastes.","B-","B+"
"B-","","Acoustune HS1655Cu","750","V-shaped","Deep V-shape signature with some odd treble spikes; very Acoustune.","B-","B+"
"B-","","Acoustune HS1657","750","V-shaped","Deep V-shape signature with some odd treble spikes; very Acoustune.","B-","B+"
"B-","","Acoustune HS1677","900","V-shaped","Deep V-shape signature with some odd treble spikes; very Acoustune.","B-","B+"
"B-","","Beyerdynamic Xelento","1000","V-shaped","Like the T8iE, with a little more treble and upper mids.","B-","B+"
"B-","","Chikyu-Sekai 16/Cosmos","1100","Warm neutral","","B-","B+"
"B-","","FAudio Mezzo","1900","Variable","","B-","B+"
"B-","★★★","HZSound Heart Mirror Pro","80","Mild V-shape","","B+","B-"
"B-","★","Sony WF-1000XM3","230","Neutral with bass boost","Proper tonality, solid technicalities yet with a consumer-friendly signature.","B+","B-"
"B-","","Shanling ME700 Lite","500","Neutral","Rather radical change from the original ME700; far less warm with more upper-mid emphasis.","B+","B-"
"B-","","Kinera Nanna","900","Mild V-shape","Surprisingly well-extended for an EST implementation; somewhat blunted notes overall.","B+","B-"
"B-","","Lime Ears Aether","1350","Neutral with bass boost","Excellent clarity and tone but marred slightly by slightly lackluster resolution","B+","B-"
"B-","","Craft Ears Aurum","1500","Neutral with bass boost","","B+","B-"
"B-","","Sony MH755","Discont.","U-shaped","Clean notes, proper sub-bass extension and a tonal balance beyond expectations.","B+","B-"
"B-","","Sony MDR-AS800AP","Discont.","Neutral with bass boost","Extremely well-balanced tuning but with unfortunately middling technicalities.","S-","C"
"B-","★","Sony MDR-EX800ST/MDR7550","350","Bright neutral","A more forgiving, warmer version of the EX1000.","C+","A-"
"B-","","Dita Fidelity","1300","V-shaped","The more technical and less natural sounding of the Dita twins.","C+","A-"
"B-","","Vision Ears EVE 20","1550","V-shaped","Solid technicalities in tandem with an uninspired tuning.","C+","A-"
"B-","","Empire Ears Valkyrie","1600","V-shaped","Lots of sub-bass with extremely thin mids. Adequate technicalities.","C+","A-"
"B-","","Empire Ears Valkyrie Mk2","1600","V-shaped","Not too dissimilar to its predecessor.","C+","A-"
"B-","★★★","Intime Sora","45","U-shaped","Well controlled bass boost with slightly skewed tonality. Potential is there.","A-","C+"
"B-","★","Fatfreq Musician Plus V2","230","Neutral with bass boost","","A-","C+"
"B-","★","Audio Lokahi","240","Neutral with bass boost","","A-","C+"
"B-","★","JVC HA-FW03","250","Bright V-shape","Slightly shouty but balanced out by a warm mid-bass hump. Lacking overall definition.","A-","C+"
"B-","★★","Moondrop Sparks","90","Neutral","A tad too shouty and lacking low-level detail, but nothing too egregious as a whole.","A-","C+"
"B-","","Tripowin Lea","Discont.","Mild V-shape","","A-","C+"
"B-","","Nostalgia Benbulbin","900","Neutral with bass boost","","A-","C+"
"B-","","DUNU Titan 3","Discont.","Bright neutral","A more reined-in variant of the Titan 3's sound, more peaky but also slightly more resolving.","B-","B"
"B-","","Shozy & Neo BG","Discont.","Bright neutral","Well balanced tuning with decent resolution, though suffers from slight timbral issues.","B-","B"
"B-","","DUNU DK-2001","Discont.","V-shaped","Slightly warm-tilted with a bit of treble spiciness.","B-","B"
"B-","★","FiiO FD5","350","V-shaped","Pretty standard V-shaped tuning though surprisingly proficient in technicalities.","B-","B"
"B-","","TRI Starshine","500","Bright V-shape","A good example of ""too much of a good thing"": treble extension. Sibilance issues abound, but otherwise fine.","B-","B"
"B-","","Gaudio Clariden","862","V-shaped","Somewhat reminiscent of a more mid-y Andromeda, though with extra wonkiness.","B-","B"
"B-","","Fearless S6Rui","390","V-shaped","Similar to the S4/S5H though with smoother upper mids and treble response.","B-","B"
"B-","","Sony XBA-A3","480","Warm neutral","Coherent hybrid with a warm-ish tilt to its tone.","B-","B"
"B-","","ThieAudio Legacy 9 (L9)","550","Bassy","Bass a little too slow and sluggish with minor quirks in the midrange-treble transition.","B-","B"
"B-","","NocturnaL Atlantis","600","Neutral","Reference signature with immense clarity and energy.","B-","B"
